,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FPL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYISO,NWMT,OVEC,PJM,AEC,PNM,SEC,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NB,ERCOT
0,178.0,,,5.0,529.0,7.0,63.0,69.0,,,,1424.0,,,1062.0,,2926.0,446.0,0.0,2065.0,,0.0,,174.0,260.0,1961.0,645.0,516.0,,2212.0,639.0,84.0,0.0,0.0
1,179.0,,,5.0,283.0,8.0,63.0,69.0,,,,1069.0,,30.0,1043.0,,2950.0,446.0,0.0,2040.0,,0.0,,179.0,260.0,1961.0,645.0,516.0,,2212.0,639.0,84.0,0.0,0.0
2,180.0,,,5.0,55.0,6.0,72.0,69.0,,,,879.0,,30.0,1011.0,,3129.0,446.0,0.0,2055.0,0.0,0.0,,157.0,260.0,1922.0,621.0,504.0,,2004.0,639.0,84.0,0.0,0.0
3,180.0,,,5.0,0.0,7.0,81.0,70.0,,,,900.0,,29.0,822.0,,3199.0,0.0,0.0,2049.0,0.0,0.0,,90.0,260.0,1909.0,621.0,503.0,,1657.0,658.0,87.0,0.0,0.0
4,178.0,,,5.0,0.0,7.0,82.0,70.0,,,,939.0,,30.0,780.0,,2792.0,0.0,0.0,2042.0,0.0,0.0,,90.0,260.0,1920.0,619.0,502.0,,1642.0,579.0,85.0,0.0,0.0
5,179.0,,,5.0,0.0,6.0,81.0,71.0,,,,951.0,,30.0,771.0,,2962.0,0.0,0.0,2042.0,0.0,0.0,,91.0,260.0,1902.0,618.0,501.0,,1624.0,572.0,84.0,0.0,0.0
6,180.0,,,6.0,0.0,7.0,81.0,70.0,,,,971.0,,30.0,790.0,,3372.0,0.0,0.0,2124.0,0.0,0.0,,90.0,260.0,1937.0,633.0,506.0,,1627.0,575.0,87.0,0.0,0.0
7,179.0,,,6.0,0.0,6.0,81.0,70.0,,,,975.0,,30.0,936.0,,3160.0,0.0,0.0,2163.0,0.0,0.0,,91.0,510.0,1999.0,734.0,498.0,,1686.0,555.0,85.0,0.0,0.0
8,179.0,,,6.0,0.0,5.0,82.0,70.0,,,,884.0,,29.0,1046.0,,2889.0,0.0,0.0,2164.0,0.0,0.0,,89.0,510.0,2046.0,1118.0,492.0,,1984.0,655.0,86.0,0.0,0.0
9,179.0,,,6.0,0.0,6.0,80.0,70.0,,,,837.0,,30.0,1067.0,,2766.0,0.0,0.0,2358.0,0.0,0.0,,90.0,670.0,2060.0,1163.0,537.0,,2461.0,772.0,84.0,0.0,0.0
10,179.0,,,6.0,40.0,6.0,80.0,72.0,,,,1133.0,,30.0,1029.0,,2800.0,0.0,0.0,2363.0,0.0,0.0,,91.0,970.0,2127.0,1241.0,586.0,,3053.0,736.0,85.0,0.0,0.0
11,179.0,,,6.0,433.0,6.0,65.0,70.0,,,,1182.0,,30.0,956.0,,3582.0,0.0,0.0,2196.0,0.0,0.0,,89.0,970.0,2115.0,1078.0,669.0,,3224.0,699.0,85.0,0.0,0.0
12,179.0,,,6.0,604.0,6.0,53.0,70.0,,,,990.0,,30.0,949.0,,3667.0,0.0,0.0,2199.0,0.0,0.0,,89.0,970.0,2082.0,1078.0,710.0,,3605.0,708.0,70.0,0.0,0.0
13,180.0,,,6.0,631.0,6.0,46.0,70.0,,,,973.0,,30.0,939.0,,3742.0,0.0,0.0,2170.0,0.0,0.0,,83.0,970.0,2129.0,1064.0,715.0,,3642.0,695.0,85.0,0.0,0.0
14,178.0,,,6.0,633.0,5.0,44.0,70.0,,,,973.0,,30.0,783.0,,3480.0,0.0,0.0,2173.0,0.0,0.0,,83.0,510.0,2025.0,1055.0,774.0,,3855.0,646.0,86.0,0.0,0.0
15,178.0,,,6.0,632.0,6.0,44.0,71.0,,,,975.0,,30.0,758.0,,3444.0,0.0,0.0,2173.0,0.0,0.0,,83.0,510.0,2108.0,1054.0,765.0,,4141.0,608.0,85.0,0.0,0.0
16,180.0,,,6.0,554.0,6.0,44.0,70.0,,,,1037.0,,30.0,774.0,,3729.0,0.0,0.0,2578.0,0.0,0.0,,127.0,510.0,2155.0,1052.0,769.0,,4321.0,611.0,83.0,0.0,0.0
17,178.0,,,6.0,559.0,6.0,44.0,70.0,,,,1462.0,,30.0,863.0,,3903.0,0.0,0.0,3200.0,0.0,0.0,,153.0,510.0,2153.0,1055.0,775.0,,4370.0,621.0,85.0,0.0,0.0
18,179.0,,,6.0,1291.0,6.0,44.0,71.0,,,,1579.0,,30.0,1706.0,,4113.0,0.0,0.0,3918.0,0.0,0.0,,153.0,960.0,2422.0,1293.0,769.0,,4582.0,757.0,85.0,0.0,0.0
19,179.0,,,6.0,1233.0,6.0,44.0,70.0,,,,1671.0,,30.0,2048.0,,3887.0,0.0,0.0,3979.0,0.0,0.0,,155.0,960.0,2711.0,1406.0,970.0,,4853.0,920.0,86.0,0.0,0.0
20,178.0,,,6.0,992.0,5.0,44.0,71.0,,,,1566.0,,30.0,2151.0,,3651.0,0.0,0.0,3478.0,0.0,0.0,,117.0,960.0,2790.0,1442.0,1161.0,,4799.0,957.0,88.0,0.0,0.0
21,179.0,,,6.0,713.0,6.0,44.0,70.0,,,,1295.0,,30.0,1850.0,,3493.0,0.0,0.0,2944.0,0.0,0.0,,88.0,960.0,2776.0,1405.0,1069.0,,4360.0,1017.0,83.0,0.0,0.0
22,178.0,,,6.0,620.0,6.0,44.0,70.0,,,,993.0,,31.0,1053.0,,3575.0,0.0,0.0,2164.0,0.0,0.0,,90.0,510.0,2700.0,1366.0,859.0,,4031.0,988.0,85.0,0.0,0.0
23,179.0,,,6.0,234.0,6.0,43.0,70.0,,,,962.0,,30.0,926.0,,3529.0,0.0,0.0,2168.0,0.0,0.0,,108.0,260.0,2331.0,1099.0,662.0,,3426.0,964.0,83.0,0.0,0.0
24,180.0,,,6.0,0.0,5.0,45.0,70.0,,,,903.0,,30.0,923.0,,3475.0,0.0,0.0,2100.0,0.0,0.0,,148.0,260.0,2075.0,748.0,529.0,,3192.0,840.0,85.0,0.0,0.0
25,178.0,,,6.0,0.0,6.0,44.0,69.0,,,,852.0,,30.0,853.0,,3249.0,0.0,0.0,2062.0,0.0,0.0,,142.0,260.0,2062.0,663.0,525.0,,2879.0,652.0,84.0,0.0,0.0
26,180.0,,,6.0,0.0,6.0,44.0,70.0,,,,826.0,,30.0,761.0,,3229.0,0.0,0.0,2058.0,0.0,0.0,,150.0,260.0,2022.0,717.0,584.0,,2434.0,547.0,82.0,0.0,0.0
27,179.0,,,6.0,0.0,5.0,44.0,70.0,,,,873.0,,30.0,749.0,,2929.0,0.0,0.0,2036.0,0.0,0.0,,126.0,260.0,2021.0,717.0,582.0,,2112.0,645.0,83.0,0.0,0.0
28,179.0,,,6.0,0.0,6.0,44.0,71.0,,,,883.0,,31.0,748.0,,2997.0,0.0,0.0,2038.0,0.0,0.0,,90.0,260.0,2052.0,718.0,579.0,,2109.0,577.0,83.0,0.0,0.0
29,179.0,,,6.0,0.0,5.0,45.0,70.0,,,,905.0,,30.0,744.0,,2959.0,0.0,0.0,2080.0,0.0,0.0,,91.0,260.0,2027.0,717.0,588.0,,2111.0,575.0,81.0,0.0,0.0
30,180.0,,,6.0,0.0,6.0,81.0,70.0,,,,913.0,,30.0,794.0,,3212.0,0.0,0.0,2584.0,0.0,0.0,,90.0,410.0,2056.0,718.0,594.0,,2117.0,582.0,82.0,0.0,0.0
31,178.0,,,6.0,773.0,6.0,81.0,71.0,,,,1018.0,,30.0,900.0,,3672.0,0.0,0.0,3024.0,0.0,0.0,,92.0,792.0,2106.0,855.0,795.0,,2559.0,649.0,83.0,0.0,0.0
32,180.0,,,6.0,1772.0,5.0,82.0,15.0,,,,1262.0,,30.0,1200.0,,3976.0,0.0,0.0,3056.0,0.0,0.0,,88.0,940.0,2100.0,1260.0,1200.0,,3233.0,725.0,79.0,0.0,0.0
33,178.0,,,6.0,1725.0,5.0,81.0,0.0,,,,1215.0,,30.0,1222.0,,4068.0,0.0,0.0,3185.0,0.0,0.0,,90.0,940.0,1991.0,1473.0,1309.0,,3411.0,1031.0,77.0,0.0,0.0
34,176.0,,,6.0,1641.0,6.0,81.0,0.0,,,,1160.0,,30.0,1157.0,,4133.0,0.0,0.0,3502.0,0.0,0.0,,91.0,665.0,2046.0,1601.0,1278.0,,3666.0,1052.0,77.0,0.0,0.0
35,177.0,,,6.0,1478.0,5.0,45.0,0.0,,,,1009.0,,30.0,1220.0,,4050.0,0.0,0.0,2523.0,0.0,0.0,,90.0,594.0,2214.0,1639.0,1133.0,,3695.0,949.0,84.0,0.0,0.0
36,180.0,,,6.0,1462.0,6.0,41.0,9.0,,,,934.0,,31.0,1211.0,,4064.0,0.0,0.0,2152.0,0.0,0.0,,91.0,550.0,2408.0,1589.0,1025.0,,3680.0,899.0,86.0,0.0,0.0
37,179.0,,,6.0,1427.0,5.0,41.0,35.0,,,,928.0,,30.0,1069.0,,4049.0,0.0,0.0,2163.0,0.0,0.0,,90.0,550.0,2330.0,1480.0,970.0,,3709.0,847.0,84.0,0.0,0.0
38,180.0,,,6.0,1101.0,6.0,41.0,37.0,,,,975.0,,30.0,1045.0,,4045.0,0.0,0.0,2138.0,0.0,0.0,,83.0,550.0,2059.0,1246.0,858.0,,3647.0,751.0,85.0,0.0,0.0
39,179.0,,,6.0,1120.0,5.0,42.0,70.0,,,,1028.0,,30.0,1178.0,,4027.0,0.0,0.0,2136.0,0.0,0.0,,82.0,550.0,1992.0,1193.0,853.0,,3648.0,717.0,84.0,0.0,0.0
40,179.0,,,6.0,1416.0,5.0,42.0,72.0,,,,1137.0,,30.0,1170.0,,4070.0,0.0,0.0,2881.0,0.0,0.0,,81.0,555.0,1936.0,1199.0,854.0,,3354.0,719.0,68.0,0.0,0.0
41,179.0,,,6.0,1771.0,6.0,41.0,70.0,,,,1491.0,,30.0,1162.0,,4314.0,0.0,0.0,5586.0,0.0,0.0,,82.0,555.0,2060.0,1225.0,902.0,,3354.0,699.0,84.0,0.0,0.0
42,180.0,,,6.0,2604.0,6.0,79.0,72.0,,,,2419.0,,30.0,1857.0,,4435.0,0.0,0.0,6147.0,0.0,0.0,,83.0,812.0,2347.0,1491.0,977.0,,3702.0,750.0,84.0,0.0,0.0
43,178.0,,,6.0,2634.0,6.0,79.0,70.0,,,,2354.0,,31.0,2164.0,,4360.0,0.0,0.0,4378.0,0.0,0.0,,83.0,1079.0,3082.0,1680.0,1166.0,,4113.0,897.0,84.0,0.0,0.0
44,179.0,,,6.0,2382.0,6.0,78.0,72.0,,,,2320.0,,30.0,1659.0,,4374.0,0.0,0.0,4813.0,0.0,0.0,,85.0,1079.0,3184.0,1694.0,1430.0,,4117.0,977.0,87.0,0.0,0.0
45,180.0,,,6.0,2236.0,7.0,79.0,70.0,,,,1603.0,,30.0,1111.0,,4157.0,0.0,0.0,2167.0,0.0,0.0,,90.0,992.0,3064.0,1686.0,1201.0,,4002.0,1019.0,84.0,0.0,0.0
46,179.0,,,6.0,1999.0,6.0,79.0,71.0,,,,1313.0,,30.0,1185.0,,3820.0,0.0,0.0,2164.0,0.0,0.0,,96.0,577.0,2573.0,1615.0,1056.0,,3624.0,999.0,86.0,0.0,0.0
47,177.0,,,6.0,1251.0,7.0,78.0,71.0,,,,1048.0,,30.0,987.0,,3633.0,0.0,0.0,2143.0,0.0,0.0,,154.0,290.0,2265.0,1224.0,742.0,,3275.0,962.0,88.0,0.0,0.0
48,179.0,,,6.0,346.0,6.0,63.0,71.0,,,,926.0,,31.0,917.0,,3300.0,0.0,0.0,2082.0,0.0,0.0,,162.0,260.0,2170.0,952.0,675.0,,2669.0,938.0,86.0,0.0,0.0
49,179.0,,,6.0,0.0,7.0,40.0,70.0,,,,860.0,,30.0,902.0,,3316.0,0.0,0.0,1994.0,0.0,0.0,,162.0,260.0,2120.0,740.0,674.0,,2194.0,779.0,85.0,0.0,0.0
50,179.0,,,6.0,0.0,7.0,41.0,70.0,,,,811.0,,30.0,803.0,,3300.0,0.0,0.0,1995.0,0.0,0.0,,163.0,260.0,2023.0,725.0,686.0,,1889.0,638.0,78.0,0.0,0.0
51,179.0,,,6.0,0.0,8.0,39.0,70.0,,,,832.0,,30.0,793.0,,3298.0,380.0,0.0,1996.0,0.0,0.0,,161.0,260.0,2016.0,720.0,684.0,,1755.0,585.0,83.0,0.0,0.0
52,180.0,,,6.0,0.0,7.0,40.0,72.0,,,,831.0,,30.0,857.0,,3260.0,388.0,0.0,1996.0,0.0,0.0,,163.0,260.0,2039.0,723.0,687.0,,1697.0,574.0,83.0,0.0,0.0
53,179.0,,,6.0,0.0,8.0,41.0,70.0,,,,861.0,,31.0,876.0,,3202.0,392.0,0.0,2044.0,0.0,0.0,,149.0,260.0,2017.0,724.0,727.0,,1761.0,588.0,81.0,0.0,0.0
54,179.0,,,5.0,214.0,7.0,80.0,70.0,,,,866.0,,30.0,849.0,,3187.0,392.0,0.0,2756.0,0.0,0.0,,91.0,366.0,1984.0,721.0,762.0,,1755.0,596.0,81.0,0.0,0.0
55,180.0,,,6.0,1263.0,8.0,79.0,70.0,,,,1174.0,,30.0,1195.0,,3302.0,398.0,0.0,4305.0,0.0,0.0,,92.0,938.0,2026.0,1130.0,863.0,,2107.0,678.0,80.0,0.0,0.0
56,179.0,,,5.0,2045.0,8.0,80.0,72.0,,,,1470.0,,30.0,1719.0,,3857.0,398.0,0.0,3352.0,0.0,0.0,,90.0,1051.0,2439.0,1480.0,1265.0,,3039.0,852.0,78.0,0.0,0.0
57,179.0,,,6.0,1948.0,7.0,80.0,70.0,,,,1365.0,,30.0,1878.0,,3919.0,402.0,0.0,3405.0,0.0,0.0,,91.0,1049.0,2222.0,1560.0,1356.0,,3690.0,970.0,76.0,0.0,0.0
58,178.0,,,6.0,1936.0,8.0,79.0,70.0,,,,1219.0,,31.0,1597.0,,3871.0,422.0,0.0,3000.0,0.0,0.0,,91.0,806.0,2025.0,1378.0,1294.0,,3716.0,1014.0,75.0,0.0,0.0
59,180.0,,,6.0,1905.0,6.0,80.0,70.0,,,,1061.0,,30.0,1303.0,,3886.0,421.0,0.0,2314.0,0.0,0.0,,90.0,776.0,2222.0,1403.0,1146.0,,3710.0,946.0,79.0,0.0,0.0
60,178.0,,,6.0,1069.0,3.0,80.0,70.0,,,,941.0,,30.0,1028.0,,3878.0,425.0,0.0,2138.0,0.0,0.0,,90.0,498.0,2541.0,1388.0,1058.0,,3731.0,879.0,80.0,0.0,0.0
61,181.0,,,6.0,759.0,3.0,78.0,71.0,,,,949.0,,25.0,1005.0,,3891.0,426.0,0.0,2114.0,0.0,0.0,,89.0,440.0,2582.0,1433.0,1050.0,,3734.0,792.0,83.0,0.0,0.0
62,178.0,,,6.0,760.0,3.0,80.0,70.0,,,,953.0,,20.0,978.0,,3939.0,431.0,0.0,2158.0,0.0,0.0,,83.0,440.0,2327.0,1337.0,881.0,,3677.0,783.0,79.0,0.0,0.0
63,179.0,,,6.0,727.0,3.0,80.0,70.0,,,,981.0,,21.0,992.0,,3892.0,441.0,0.0,2172.0,0.0,0.0,,83.0,440.0,2117.0,1257.0,872.0,,3573.0,714.0,84.0,0.0,0.0
64,178.0,,,6.0,711.0,3.0,78.0,70.0,,,,1000.0,,29.0,954.0,,3889.0,438.0,0.0,2985.0,0.0,0.0,,82.0,440.0,2134.0,1243.0,874.0,,3294.0,704.0,82.0,0.0,0.0
65,178.0,,,6.0,781.0,5.0,80.0,70.0,,,,1250.0,,30.0,1007.0,,4045.0,439.0,0.0,5686.0,0.0,0.0,,83.0,450.0,2138.0,1256.0,874.0,,3312.0,703.0,80.0,0.0,0.0
66,177.0,,,6.0,1498.0,9.0,81.0,70.0,,,,1992.0,,31.0,1680.0,,4114.0,446.0,0.0,6079.0,0.0,0.0,,82.0,787.0,2607.0,1509.0,999.0,,3376.0,778.0,82.0,0.0,0.0
67,176.0,,,6.0,2183.0,4.0,82.0,70.0,,,,1631.0,,30.0,2087.0,,4157.0,446.0,0.0,4583.0,0.0,0.0,,82.0,857.0,3278.0,1711.0,1000.0,,4169.0,929.0,75.0,0.0,0.0
68,177.0,,,6.0,2041.0,3.0,80.0,72.0,,,,1444.0,,30.0,1447.0,,4093.0,454.0,0.0,2882.0,0.0,0.0,,86.0,1110.0,3205.0,1622.0,1073.0,,4177.0,984.0,85.0,0.0,0.0
69,176.0,,,6.0,1817.0,3.0,82.0,70.0,,,,1259.0,,31.0,1157.0,,3868.0,465.0,0.0,2003.0,0.0,0.0,,92.0,1110.0,2975.0,1514.0,989.0,,4136.0,986.0,82.0,0.0,0.0
70,177.0,,,6.0,932.0,4.0,82.0,70.0,,,,991.0,,30.0,1064.0,,3708.0,473.0,0.0,1963.0,0.0,0.0,,149.0,721.0,2430.0,1510.0,878.0,,4099.0,953.0,87.0,0.0,0.0
71,176.0,,,6.0,287.0,3.0,81.0,70.0,,,,939.0,,31.0,965.0,,3661.0,476.0,0.0,1970.0,0.0,0.0,,185.0,329.0,2224.0,1453.0,695.0,,4126.0,920.0,86.0,0.0,0.0
72,178.0,,,6.0,0.0,4.0,82.0,70.0,,,,934.0,,30.0,929.0,,3320.0,475.0,0.0,2056.0,0.0,0.0,,176.0,260.0,2061.0,1055.0,572.0,,3799.0,861.0,81.0,0.0,0.0
73,179.0,,,6.0,0.0,3.0,82.0,69.0,,,,888.0,,31.0,865.0,,3150.0,479.0,0.0,1992.0,0.0,0.0,,151.0,240.0,2016.0,813.0,576.0,,3117.0,756.0,85.0,0.0,0.0
74,179.0,,,6.0,0.0,4.0,82.0,70.0,,,,867.0,,30.0,889.0,,3169.0,469.0,0.0,1990.0,0.0,0.0,,147.0,260.0,1982.0,761.0,724.0,,2217.0,737.0,83.0,0.0,0.0
75,179.0,,,6.0,0.0,3.0,81.0,70.0,,,,868.0,,31.0,873.0,,3084.0,472.0,0.0,2002.0,0.0,0.0,,149.0,260.0,1981.0,776.0,733.0,,2109.0,629.0,86.0,0.0,0.0
76,180.0,,,6.0,0.0,4.0,83.0,70.0,,,,869.0,,30.0,863.0,,2833.0,470.0,0.0,2003.0,0.0,0.0,,151.0,260.0,1963.0,748.0,736.0,,2103.0,554.0,87.0,0.0,0.0
77,179.0,,,6.0,0.0,3.0,82.0,70.0,,,,868.0,,30.0,902.0,,3190.0,490.0,0.0,2068.0,0.0,0.0,,148.0,260.0,1970.0,785.0,737.0,,2121.0,558.0,86.0,0.0,0.0
78,179.0,,,6.0,0.0,4.0,81.0,71.0,,,,910.0,,31.0,869.0,,3082.0,496.0,0.0,3680.0,0.0,0.0,,90.0,548.0,1963.0,791.0,738.0,,2106.0,587.0,89.0,0.0,0.0
79,182.0,,,6.0,610.0,4.0,82.0,71.0,,,,1116.0,,30.0,1025.0,,3211.0,497.0,0.0,5052.0,0.0,0.0,,92.0,685.0,2569.0,1090.0,796.0,,2189.0,668.0,88.0,0.0,0.0
80,179.0,,,6.0,1392.0,4.0,80.0,70.0,,,,1334.0,,28.0,1982.0,,3624.0,495.0,0.0,3850.0,0.0,0.0,,88.0,905.0,2478.0,1411.0,1093.0,,2863.0,810.0,85.0,0.0,0.0
81,179.0,,,6.0,1396.0,3.0,80.0,70.0,,,,1266.0,,11.0,1477.0,,3739.0,497.0,0.0,3031.0,0.0,0.0,,91.0,997.0,2537.0,1411.0,1106.0,,3326.0,978.0,85.0,0.0,0.0
82,180.0,,,6.0,1557.0,4.0,80.0,70.0,,,,1025.0,,10.0,1066.0,,3757.0,505.0,0.0,2131.0,0.0,0.0,,89.0,845.0,2389.0,1327.0,1096.0,,3327.0,1004.0,80.0,0.0,0.0
83,179.0,,,6.0,2055.0,3.0,80.0,71.0,,,,958.0,,11.0,1007.0,,3755.0,509.0,0.0,2158.0,0.0,0.0,,91.0,555.0,2677.0,1428.0,1050.0,,3278.0,905.0,84.0,0.0,0.0
84,176.0,,,6.0,1844.0,3.0,79.0,71.0,,,,932.0,,10.0,955.0,,3763.0,509.0,0.0,2166.0,0.0,0.0,,90.0,560.0,2558.0,1428.0,1152.0,,3218.0,815.0,81.0,0.0,0.0
85,180.0,,,6.0,1595.0,3.0,80.0,70.0,,,,923.0,,10.0,988.0,,3788.0,509.0,0.0,2146.0,0.0,0.0,,90.0,560.0,2341.0,1348.0,1054.0,,3238.0,823.0,82.0,0.0,0.0
86,178.0,,,6.0,1373.0,3.0,80.0,70.0,,,,969.0,,11.0,935.0,,3810.0,512.0,0.0,2162.0,0.0,0.0,,83.0,595.0,2182.0,1287.0,1037.0,,3253.0,791.0,83.0,0.0,0.0
87,179.0,,,6.0,1312.0,3.0,79.0,70.0,,,,1031.0,,10.0,918.0,,3827.0,508.0,0.0,2158.0,0.0,0.0,,81.0,595.0,2189.0,1256.0,1038.0,,2950.0,709.0,84.0,0.0,0.0
88,179.0,,,6.0,1252.0,3.0,79.0,71.0,,,,1067.0,,26.0,964.0,,3907.0,510.0,0.0,2399.0,0.0,0.0,,149.0,595.0,2159.0,1264.0,1033.0,,2885.0,682.0,85.0,0.0,0.0
89,179.0,,,6.0,1474.0,4.0,80.0,70.0,,,,1257.0,,30.0,932.0,,3915.0,515.0,0.0,3210.0,0.0,0.0,,143.0,595.0,2133.0,1263.0,1033.0,,2916.0,678.0,84.0,0.0,0.0
90,179.0,,,6.0,1838.0,11.0,80.0,70.0,,,,1410.0,,31.0,1066.0,,4069.0,512.0,0.0,3182.0,0.0,0.0,,92.0,690.0,2457.0,1422.0,931.0,,3303.0,805.0,85.0,0.0,0.0
91,179.0,,,6.0,1753.0,10.0,79.0,70.0,,,,1282.0,,30.0,1360.0,,3843.0,511.0,0.0,2695.0,0.0,0.0,,82.0,852.0,2771.0,1505.0,939.0,,4141.0,934.0,77.0,0.0,0.0
92,178.0,,,6.0,1343.0,10.0,81.0,70.0,,,,1072.0,,31.0,1106.0,,3825.0,514.0,0.0,2202.0,0.0,0.0,,83.0,905.0,2902.0,1453.0,778.0,,4102.0,957.0,22.0,0.0,0.0
93,180.0,,,6.0,985.0,11.0,80.0,71.0,,,,1050.0,,30.0,1085.0,,3894.0,518.0,0.0,2139.0,0.0,0.0,,81.0,905.0,2894.0,1439.0,770.0,,4102.0,1002.0,30.0,0.0,0.0
94,179.0,,,6.0,581.0,10.0,80.0,71.0,,,,998.0,,31.0,1077.0,,3742.0,515.0,0.0,2178.0,0.0,0.0,,84.0,905.0,2444.0,1450.0,610.0,,4110.0,995.0,30.0,0.0,0.0
95,178.0,,,6.0,138.0,10.0,80.0,70.0,,,,928.0,,31.0,994.0,,3785.0,516.0,0.0,2157.0,0.0,0.0,,130.0,450.0,2209.0,1449.0,588.0,,4030.0,946.0,22.0,0.0,0.0
96,178.0,,,6.0,0.0,10.0,80.0,70.0,,,,904.0,,30.0,961.0,,3621.0,517.0,0.0,1988.0,0.0,0.0,,136.0,310.0,2122.0,1061.0,587.0,,3985.0,914.0,23.0,0.0,0.0
97,178.0,,,6.0,0.0,11.0,79.0,69.0,,,,880.0,,31.0,803.0,,3260.0,515.0,0.0,2046.0,0.0,0.0,,145.0,310.0,2102.0,955.0,588.0,,3687.0,759.0,25.0,0.0,0.0
98,180.0,,,6.0,0.0,10.0,79.0,69.0,,,,880.0,,30.0,752.0,,3304.0,511.0,0.0,2048.0,0.0,0.0,,150.0,196.0,2122.0,779.0,677.0,,3315.0,685.0,34.0,0.0,0.0
99,179.0,,,6.0,0.0,10.0,80.0,71.0,,,,875.0,,31.0,744.0,,3113.0,509.0,0.0,2088.0,,0.0,,154.0,196.0,2132.0,775.0,676.0,,3217.0,576.0,52.0,0.0,0.0
100,178.0,,,6.0,0.0,10.0,80.0,70.0,,,,872.0,,30.0,782.0,,3291.0,512.0,0.0,2068.0,,0.0,,154.0,196.0,2123.0,763.0,679.0,,3211.0,567.0,38.0,0.0,0.0
101,177.0,,,6.0,0.0,10.0,79.0,70.0,,,,863.0,,31.0,783.0,,3276.0,509.0,0.0,2072.0,,0.0,,156.0,196.0,2126.0,819.0,680.0,,3218.0,567.0,24.0,0.0,0.0
102,177.0,,,6.0,0.0,10.0,80.0,70.0,,,,898.0,,30.0,785.0,,3298.0,509.0,0.0,2031.0,,0.0,,85.0,196.0,2133.0,846.0,680.0,,3220.0,579.0,69.0,0.0,0.0
103,179.0,,,6.0,0.0,10.0,80.0,72.0,,,,951.0,,31.0,837.0,,3818.0,512.0,0.0,2176.0,,0.0,,83.0,928.0,2126.0,935.0,687.0,,3297.0,739.0,50.0,0.0,0.0
104,179.0,,,6.0,717.0,10.0,78.0,70.0,,,,976.0,,30.0,895.0,,3686.0,510.0,0.0,2103.0,,0.0,,80.0,928.0,2378.0,1145.0,831.0,,3975.0,861.0,50.0,0.0,0.0
105,180.0,,,6.0,901.0,8.0,80.0,70.0,,,,1048.0,,31.0,1098.0,,3812.0,510.0,0.0,2108.0,,0.0,,83.0,928.0,2451.0,1189.0,970.0,,4138.0,896.0,75.0,0.0,0.0
106,178.0,,,6.0,601.0,8.0,79.0,70.0,,,,1056.0,,30.0,1173.0,,3742.0,516.0,0.0,2018.0,,0.0,,81.0,928.0,2651.0,1309.0,996.0,,4121.0,974.0,59.0,0.0,0.0
107,179.0,,,6.0,124.0,5.0,78.0,70.0,,,,991.0,,31.0,1072.0,,3614.0,518.0,0.0,2035.0,,0.0,,83.0,928.0,2655.0,1388.0,870.0,,3854.0,831.0,72.0,0.0,0.0
108,179.0,,,6.0,0.0,5.0,78.0,70.0,,,,955.0,,31.0,965.0,,3699.0,519.0,0.0,2078.0,,0.0,,81.0,518.0,2378.0,1313.0,797.0,,3348.0,812.0,73.0,0.0,0.0
109,179.0,,,6.0,0.0,4.0,79.0,71.0,,,,956.0,,30.0,961.0,,3799.0,512.0,0.0,2043.0,,0.0,,83.0,518.0,2220.0,1162.0,738.0,,2676.0,772.0,83.0,0.0,0.0
110,179.0,,,6.0,0.0,5.0,80.0,70.0,,,,958.0,,31.0,938.0,,3900.0,516.0,0.0,1980.0,,0.0,,129.0,518.0,2143.0,1099.0,834.0,,2077.0,727.0,83.0,0.0,0.0
111,179.0,,,6.0,0.0,4.0,79.0,70.0,,,,951.0,,31.0,927.0,,3953.0,515.0,0.0,2008.0,,0.0,,154.0,518.0,2190.0,1101.0,834.0,,1837.0,719.0,77.0,0.0,0.0
112,179.0,,,6.0,0.0,4.0,79.0,70.0,,,,977.0,,30.0,930.0,,3852.0,511.0,0.0,1989.0,,0.0,,154.0,518.0,2204.0,1100.0,834.0,,1855.0,718.0,76.0,0.0,0.0
113,178.0,,,6.0,0.0,4.0,80.0,70.0,,,,1691.0,,31.0,957.0,,3900.0,511.0,0.0,3098.0,,0.0,,121.0,518.0,2240.0,1104.0,836.0,,1850.0,713.0,72.0,0.0,0.0
114,180.0,,,6.0,1027.0,4.0,79.0,71.0,,,,1967.0,,31.0,1088.0,,3883.0,512.0,0.0,3143.0,,0.0,,82.0,898.0,2245.0,1252.0,836.0,,1882.0,766.0,74.0,0.0,0.0
115,179.0,,,6.0,1683.0,5.0,80.0,71.0,,,,1657.0,,31.0,1102.0,,3931.0,513.0,0.0,2560.0,,0.0,,83.0,898.0,2641.0,1366.0,1022.0,,2574.0,905.0,75.0,0.0,0.0
116,179.0,,,6.0,1622.0,4.0,79.0,70.0,,,,1249.0,,30.0,1141.0,,3792.0,512.0,0.0,2150.0,,0.0,,81.0,898.0,2788.0,1358.0,1023.0,,3294.0,934.0,82.0,0.0,0.0
117,179.0,,,6.0,1525.0,4.0,80.0,70.0,,,,996.0,,31.0,1057.0,,3849.0,510.0,0.0,2116.0,,0.0,,81.0,898.0,2779.0,1355.0,904.0,,3390.0,972.0,66.0,0.0,0.0
